mr1,nl1,mr2,nl2,sentbert score,experiment
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.518859804,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.551428914,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.487811387,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.508220613,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.558854103,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.487811387,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.471651554,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.537404299,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.487221837,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter its on the area of riverside with a average rating is not recommended for family,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.619348884,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.521820903,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.588787615,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.530362308,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.52335155,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.58251369,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.530362308,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.492888123,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.535188138,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.500613153,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","Located in the riverside area, The Punter is adult only with average ratings.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.602517486,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.620146394,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.657789171,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.627629042,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.625462413,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.586746037,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.627629042,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.604852438,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.656755328,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.624438763,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter is in riverside, rated average but not family-friendly.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.712028921,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.514608562,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.567695916,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.512606025,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.508391321,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.591430366,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.512606025,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.484806865,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.514647841,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.490138054,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]",The Punter is adult only located in the riverside area with average ratings.,"name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.575955153,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.666496634,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.672879457,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.612515152,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.582345188,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.541432321,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.612515152,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.655271471,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.648355007,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.670153141,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter its a great place on riverside , has an average rating but not good for family","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.714487612,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]","The Punter has an average customer rating, is family friendly and is located in the riverside area.",0.571673632,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",In the riverside area you will find The Punter which is family friendly and has an average rating.,0.607239723,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside is children friendly and has an average rating,0.583628058,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at riverside has an average rating is children friendly,0.581362724,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter with an average rating and child friendly can be found by near the river side,0.546305537,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter at Riverside is Children friendly and has an average rating,0.583628058,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in riverside is family friendly and has average customer ratings.,0.578759491,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",with an average rating The Punter at riverside is children friendly,0.616709769,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",Near the riverside  The Punter has an average  customer rating  and also child friendly,0.594431758,1
"name[The Punter], customer rating[average], area[riverside], familyFriendly[no]","The Punter, in riverside, is rated average but not a good choice for family.","name[The Punter], customer rating[average], area[riverside], familyFriendly[yes]",The Punter in a family friendly venue in riverside with an average rating.,0.649652243,1
